state_name,deaths,per_num_pop
Alabama,723,100000
Alaska,124,100000
Arizona,1211,100000
Arkansas,356,100000
California,4521,100000
Colorado,899,100000
Connecticut,623,100000
Delaware,189,100000
Florida,2634,100000
Georgia,1206,100000
Hawaii,157,100000
Idaho,212,100000
Illinois,1705,100000
Indiana,1172,100000
Iowa,264,100000
Kansas,332,100000
Kentucky,1077,100000
Louisiana,777,100000
Maine,216,100000
Maryland,1070,100000
Massachusetts,1289,100000
Michigan,1762,100000
Minnesota,517,100000
Mississippi,336,100000
Missouri,1067,100000
Montana,125,100000
Nebraska,125,100000
Nevada,545,100000
New Hampshire,334,100000
New Jersey,1253,100000
New Mexico,547,100000
New York,2300,100000
North Carolina,1358,100000
North Dakota,43,100000
Ohio,2744,100000
Oklahoma,777,100000
Oregon,522,100000
Pennsylvania,2732,100000
Rhode Island,247,100000
South Carolina,701,100000
South Dakota,63,100000
Tennessee,1269,100000
Texas,2601,100000
Utah,603,100000
Vermont,83,100000
Virginia,980,100000
Washington,979,100000
West Virginia,627,100000
Wisconsin,853,100000
Wyoming,109,100000
